Дата;Номенклатура;Количество;Склад;Вид;Марка_стали;Покрытие;Гост;Класс_прочности
2020-04-02;Гайка М20-6h.8.ГЦ ГОСТ 5915-70;2900.0;Поступления;Гайка;;ГЦ;ГОСТ 5915-70;8.0
2020-04-05;Болт М36-6gх115.8.8.Гл ГОСТ 7798-70;2145.6;Поступления;Болт;;Гл;ГОСТ 7798-70;8.8
2020-04-18;Болт М12-6gх100.8.8.Гл ГОСТ 7798-70;25.0;Поступления;Болт;;Гл;ГОСТ 7798-70;8.8
2020-04-18;Болт М20-6gх60.8.8.Гл ГОСТ 7798-70;700.0;Поступления;Болт;;Гл;ГОСТ 7798-70;8.8
2020-04-18;Гайка М16-6h.8.Гл ГОСТ 5915-70;3000.0;Поступления;Гайка;;Гл;ГОСТ 5915-70;8.0
2020-04-18;Гайка М16-6h.8.ГЦ ГОСТ 5915-70;300.0;Поступления;Гайка;;ГЦ;ГОСТ 5915-70;8.0
2020-04-18;Гайка М18-6h.8.Гл ГОСТ 5915-70;100.0;Поступления;Гайка;;Гл;ГОСТ 5915-70;8.0
2020-04-18;Гайка М20-6h.8.Гл ГОСТ 5915-70;3500.0;Поступления;Гайка;;Гл;ГОСТ 5915-70;8.0
2020-04-18;Гайка М30-6h.8.Гл ГОСТ 5915-70;500.0;Поступления;Гайка;;Гл;ГОСТ 5915-70;8.0
2020-04-18;Гайка М48-6h.8.Гл ГОСТ 5915-70;248.56;Поступления;Гайка;;Гл;ГОСТ 5915-70;8.0
2020-04-20;Изолятор ЛК 70/10 -4СП;276.0;Поступления;Линейная арматура для ЛЭП;;;;
2020-04-20;Изолятор ШП 10-4 УХЛ1;437.0;Поступления;Линейная арматура для ЛЭП;;;;
2020-04-22;Изолятор ЛОК 12,5-20-4-20-50 УХЛ1 исп.1;4.0;Поступления;Линейная арматура для ЛЭП;;;;
